# Revision 1.0,,,,,,,,,,,,,,,
"# October 27, 2020",,,,,,,,,,,,,,,
# Revision 1.1,,,,,,,,,,,,,,,
"# May 25, 2022",,,,,,,,,,,,,,,
"# In LIFCL-17 and LIFCL-40 package QFN72, changed Pin 39 to VCCADC18.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LIFCL-17,,,,,,,,,LIFCL-40,,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,HIGHSPEED,DQS,,,Pin Number,Pin Function,Bank,Dual Function,Differential,HIGHSPEED,DQS
1,DPHY0_DP2,60,-,True_OF_DPHY0_DN2,-,-,,,1,DPHY0_DP2,60,-,True_OF_DPHY0_DN2,-,-
2,DPHY0_DN2,60,-,Comp_OF_DPHY0_DP2,-,-,,,2,DPHY0_DN2,60,-,Comp_OF_DPHY0_DP2,-,-
3,DPHY0_DN0,60,-,Comp_OF_DPHY0_DP0,-,-,,,3,DPHY0_DN0,60,-,Comp_OF_DPHY0_DP0,-,-
4,DPHY0_DP0,60,-,True_OF_DPHY0_DN0,-,-,,,4,DPHY0_DP0,60,-,True_OF_DPHY0_DN0,-,-
5,VCC,-,-,-,-,-,,,5,VCCPLL_ULC,-,-,-,-,-
6,VCC,-,-,-,-,-,,,6,VCC,-,-,-,-,-
7,VCCAUX,-,-,-,-,-,,,7,VCCAUX,-,-,-,-,-
8,PB30B,5,PCLKC5_3/VREF5_2,Comp_OF_PB30A,TRUE,BDQ22,,,8,PB12B,5,PCLKC5_3/VREF5_2,Comp_OF_PB12A,TRUE,-
9,PB30A,5,PCLKT5_3,True_OF_PB30B,TRUE,BDQ22,,,9,PB12A,5,PCLKT5_3,True_OF_PB12B,TRUE,-
10,PB20B,5,PCLKC5_1/LLC_GPLL0C_IN,Comp_OF_PB20A,TRUE,BDQ22,,,10,PB8B,5,PCLKC5_1/LLC_GPLL0C_IN,Comp_OF_PB8A,TRUE,-
11,PB20A,5,PCLKT5_1/LLC_GPLL0T_IN,True_OF_PB20B,TRUE,BDQ22,,,11,PB8A,5,PCLKT5_1/LLC_GPLL0T_IN,True_OF_PB8B,TRUE,-
12,VCC,-,-,-,-,-,,,12,VCC,-,-,-,-,-
13,PB16B,5,CDR_RXN0,Comp_OF_PB16A,TRUE,BDQ22,,,13,PB4B,5,CDR_RXN0,Comp_OF_PB4A,TRUE,-
14,PB16A,5,CDR_RXP0/VREF5_1,True_OF_PB16B,TRUE,BDQ22,,,14,PB4A,5,CDR_RXP0/VREF5_1,True_OF_PB4B,TRUE,-
15,PB18B,5,PCLKC5_0/CDR_RXN1,Comp_OF_PB18A,TRUE,BDQ22,,,15,PB6B,5,PCLKC5_0/CDR_RXN1,Comp_OF_PB6A,TRUE,-
16,PB18A,5,PCLKT5_0/CDR_RXP1,True_OF_PB18B,TRUE,BDQ22,,,16,PB6A,5,PCLKT5_0/CDR_RXP1,True_OF_PB6B,TRUE,-
