Altium Designer Pick and Place Locations
C:\Subversion\Boards\EOL-2020\STM32F469I-DISCO\MB1189-STM32F4-Dragon2M-434-Disco\Trunk\02-Manufacturing\MB1189C_PCB\Assembly\MB1189C_PickandPlace.txt

========================================================================================================================
File Design Information:

Date:       15/03/22
Time:       10:52
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                        Layer       Footprint              Center-X(mm) Center-Y(mm) Rotation Description                                                                         
HW4        STICKER_QR_CODE                BottomLayer STICKER_QR_CODE_8X8    -300.0000    -300.0000    180      ""                                                                                  
HW3        STICKER_BOARD_CPN              BottomLayer STICKER_BOARD-CPN_13X3 -300.0000    -300.0000    180      ""                                                                                  
U11        "ISSI IS42S32400F-6BL"         BottomLayer ICC_VFBGA90_8X13_P080  36.1950      55.6260      90       "SDRAM 128MBit 166MHZ 90BGA"                                                        
U3         "STLINK V2-1"                  BottomLayer LQFP48_0R5_9X9         26.1620      104.9020     90       ""                                                                                  
CN9        PJS008-2003-1                  BottomLayer MSD_PJS008_            8.4925       35.2903      90       "MicroSD Card Conn, Reversed-Type, Mnt Push-Push, Positionning holes"               
CN11       F206A-2*04MGF-A                BottomLayer SSM-104-L-DH           7.6200       19.0500      270      "Header, 4-Pin, Dual row"                                                           
U4         ST890CDR                       BottomLayer SOIC8_1R27_4R9X6       43.9420      93.8530      90       ""                                                                                  
U2         IMP34DT05TR                    TopLayer    MIC_HCLGA_3X4X1_4LD_   28.8300      5.6150       270      "MEMS audio sensor omnidirectional digital microphone for industrial applications"  
U1         IMP34DT05TR                    TopLayer    MIC_HCLGA_3X4X1_4LD_   12.8269      123.5961     270      "MEMS audio sensor omnidirectional digital microphone for industrial applications"  
U6         IMP34DT05TR                    TopLayer    MIC_HCLGA_3X4X1_4LD_   49.8309      5.6131       270      "MEMS audio sensor omnidirectional digital microphone for industrial applications"  
R55        10K                            BottomLayer 0402R                  9.1440       46.3550      360      Resistor                                                                            
R39        51                             BottomLayer 0402R                  15.7480      93.8530      90       Resistor                                                                            
R40        51                             BottomLayer 0402R                  14.3510      93.8530      90       Resistor                                                                            
R152       10K                            BottomLayer 0402R                  13.0810      12.1920      270      Resistor                                                                            
R9         10K                            BottomLayer 0402R                  26.7970      116.8400     360      Resistor                                                                            
R38        10K                            BottomLayer 0402R                  39.3700      93.9800      90       Resistor                                                                            
R28        10K                            BottomLayer 0402R                  30.4800      97.5360      90       Resistor                                                                            
R122       10K                            BottomLayer 0402R                  20.7010      33.7820      270      Resistor                                                                            
R149       10K                            BottomLayer 0402R                  29.7180      13.8430      270      Resistor                                                                            
R34        100K                           BottomLayer 0402R                  56.6420      96.9010      90       Resistor                                                                            
R13        0                              BottomLayer 0603R                  28.9560      114.6810     270      Resistor                                                                            
R29        [N/A]                          BottomLayer 0603R                  29.2100      97.5360      90       "Resistor 0402 / 0603 / 0805"                                                       
R20        100                            BottomLayer 0603R                  19.5580      109.6010     360      Resistor                                                                            
R116       47K                            BottomLayer 0603R                  18.0340      36.8300      360      Resistor                                                                            
R3         680                            TopLayer    0603R                  21.9710      120.9040     90       Resistor                                                                            
R6         100K                           BottomLayer 0603R                  16.5100      117.6020     90       Resistor                                                                            
R14        0                              BottomLayer 0603R                  27.6860      114.6810     270      Resistor                                                                            
R11        100                            BottomLayer 0603R                  56.7690      115.3160     360      Resistor                                                                            
R12        1K5                            BottomLayer 0603R                  30.2260      114.6810     270      Resistor                                                                            
R16        36K                            BottomLayer 0603R                  24.8920      114.6810     90       Resistor                                                                            
R150       [N/A]                          BottomLayer 0603R                  31.1150      13.7160      270      Resistor                                                                            
R19        220K                           BottomLayer 0603R                  14.4780      113.0300     270      Resistor                                                                            
R18        330                            BottomLayer 0603R                  16.1290      113.0300     270      Resistor                                                                            
R7         820                            BottomLayer 0603R                  43.0530      117.4750     360      Resistor                                                                            
R2         510                            TopLayer    0603R                  17.2720      120.9040     90       Resistor                                                                            
R5         680                            TopLayer    0603R                  31.3690      120.9040     90       Resistor                                                                            
R117       0                              BottomLayer 0603R                  54.7370      35.8140      270      Resistor                                                                            
R24        0                              BottomLayer 0603R                  3.3020       108.4580     360      Resistor                                                                            
R114       47K                            BottomLayer 0603R                  18.0340      39.7510      360      Resistor                                                                            
R10        100                            BottomLayer 0603R                  18.6690      115.4430     360      Resistor                                                                            
R86        47K                            BottomLayer 0603R                  18.0340      41.1480      360      Resistor                                                                            
R57        0                              BottomLayer 0603R                  5.7150       44.9580      360      Resistor                                                                            
R4         680                            TopLayer    0603R                  26.6700      120.9040     90       Resistor                                                                            
R120       47K                            BottomLayer 0603R                  18.0340      35.5600      360      Resistor                                                                            
R115       47K                            BottomLayer 0603R                  18.0340      38.2270      360      Resistor                                                                            
R132       0                              BottomLayer 0603R                  23.3680      20.0660      360      Resistor                                                                            
R133       0                              BottomLayer 0603R                  23.3680      21.5900      360      Resistor                                                                            
R58        10                             BottomLayer 0603R                  56.3880      44.1960      270      Resistor                                                                            
